scenario,instance,reschedule_rate_pct,highstab_threshold_P50,method,trial,union_hv,highstab_hv,aoc
la36S,la36_la36_small,27,16,Memetic+PR,8,0.991452,0.079992,0.468799
la36S,la36_la36_small,27,16,Memetic+PR,9,0.993468,0.082331,0.539182
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,0,1.170671,0.049040,1.071848
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,1,1.171106,0.049040,1.064982
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,2,1.171106,0.049040,1.050553
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,3,1.171106,0.049040,1.065123
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,4,1.170671,0.049040,1.069339
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,5,1.171106,0.049040,1.065896
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,6,1.171760,0.049040,1.064038
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,7,1.171542,0.048796,1.057191
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,8,1.171760,0.049040,1.069161
ta21S,ta21_ta21_delay97,32,12,ILS-baseline,9,1.171106,0.049040,1.058650
ta21S,ta21_ta21_delay97,32,12,ILS+repair,0,1.171106,0.049040,1.075368
ta21S,ta21_ta21_delay97,32,12,ILS+repair,1,1.171106,0.049040,1.067207
ta21S,ta21_ta21_delay97,32,12,ILS+repair,2,1.171106,0.049040,1.054836
ta21S,ta21_ta21_delay97,32,12,ILS+repair,3,1.171106,0.049040,1.067306
ta21S,ta21_ta21_delay97,32,12,ILS+repair,4,1.171106,0.049040,1.064558
ta21S,ta21_ta21_delay97,32,12,ILS+repair,5,1.171760,0.049040,1.062544
ta21S,ta21_ta21_delay97,32,12,ILS+repair,6,1.171106,0.049040,1.064435
ta21S,ta21_ta21_delay97,32,12,ILS+repair,7,1.171324,0.049040,1.068953
ta21S,ta21_ta21_delay97,32,12,ILS+repair,8,1.171760,0.049040,1.071123
ta21S,ta21_ta21_delay97,32,12,ILS+repair,9,1.171760,0.049040,1.057823
ta21S,ta21_ta21_delay97,32,12,ILS+PR,0,1.171106,0.049040,1.072961
ta21S,ta21_ta21_delay97,32,12,ILS+PR,1,1.171106,0.049040,1.066219
ta21S,ta21_ta21_delay97,32,12,ILS+PR,2,1.172195,0.049040,1.051997
ta21S,ta21_ta21_delay97,32,12,ILS+PR,3,1.171324,0.049040,1.061750
ta21S,ta21_ta21_delay97,32,12,ILS+PR,4,1.171106,0.049040,1.066088
ta21S,ta21_ta21_delay97,32,12,ILS+PR,5,1.172195,0.049040,1.065575
ta21S,ta21_ta21_delay97,32,12,ILS+PR,6,1.172195,0.049040,1.067018
ta21S,ta21_ta21_delay97,32,12,ILS+PR,7,1.172195,0.049040,1.058657
ta21S,ta21_ta21_delay97,32,12,ILS+PR,8,1.172195,0.049040,1.069411
ta21S,ta21_ta21_delay97,32,12,ILS+PR,9,1.172195,0.049040,1.056340
ta21S,ta21_ta21_delay97,32,12,GA,0,1.000331,0.000000,0.425172
ta21S,ta21_ta21_delay97,32,12,GA,1,1.026725,0.000000,0.520248
ta21S,ta21_ta21_delay97,32,12,GA,2,0.988092,0.000000,0.523952
ta21S,ta21_ta21_delay97,32,12,GA,3,0.988092,0.000000,0.510145
ta21S,ta21_ta21_delay97,32,12,GA,4,0.977204,0.000000,0.511363
ta21S,ta21_ta21_delay97,32,12,GA,5,1.071106,0.000000,0.510261
